CODES,DATES,OPEN,CLOSE,HIGH,LOW,VOLUME,TR,EFFECT_RATIO,SMOOTH,MIDDLE,TOP,BOTTOM,BUY,SELL
600309.SH,2010/03/18,11.176893,10.974988,11.224966,10.864421,7254133.0,0.3605450000000001,0.24791678223245384,0.21049206623855804,10.764516314748368,10.88093464220153,10.648097987295207,0,0
600309.SH,2010/03/19,10.93653,10.864421,10.994216999999999,10.696166999999999,12906640.0,0.2980499999999999,0.30487807456107924,0.21379935274212272,10.797128157762332,10.878084486962631,10.716171828562032,0,0
600309.SH,2010/03/22,10.88365,11.249002,11.263424,10.710589,8713585.0,0.552835,0.005917244735223493,0.2480986255421552,10.840197572143104,10.869284165113706,10.811110979172502,0,0
600309.SH,2010/03/23,11.20093,11.162472,11.378799,11.051903999999999,9506022.0,0.32689500000000216,0.045976855757548146,0.06807920113088727,10.807992071358713,10.907067232591478,10.708916910125948,0,0
600309.SH,2010/03/24,11.061519,10.955759,11.20093,10.859614,7605300.0,0.34131599999999906,0.08108091744349245,0.09220111744540532,10.785052472258023,10.90356063747975,10.666544307036297,0,0
600309.SH,2010/03/25,10.821156,11.003832000000001,11.229773,10.821156,6854918.0,0.40861699999999956,0.04127586766744517,0.11333904706274814,10.88392906995536,10.99945717312066,10.768400966790061,0,0
600309.SH,2010/03/26,10.994216999999999,11.369183999999999,11.479751,10.926916,11240373.0,0.552835,0.08798656010204475,0.08937041493953687,10.790632805488828,10.908197702459859,10.673067908517798,0,0
600309.SH,2010/03/29,11.383606,11.527824,11.537438,11.369183999999999,6965094.0,0.168254000000001,0.20871171193618876,0.11749728350230651,10.781198352873577,10.890825403361987,10.671571302385168,0,0
600309.SH,2010/03/30,11.527824,11.388413,11.527824,11.297075,6097439.0,0.2307490000000012,0.20297958435809213,0.19019199858523192,10.790711513369144,10.893798716901356,10.687624309836933,0,0
600309.SH,2010/03/31,11.407642,11.417257000000001,11.474944,11.297075,4581539.0,0.17786900000000117,0.07625303926744871,0.18674039488229202,10.817602000885103,10.894321957371242,10.740882044398964,0,0
600309.SH,2010/04/01,11.407642,11.537438,11.566282000000001,11.224966,11540730.0,0.34131600000000084,0.16883089984673272,0.11043193762340997,10.853278636131407,10.920921425414521,10.785635846848292,0,0
600309.SH,2010/04/02,11.585511,11.590318,11.777802000000001,11.450908,8143556.0,0.32689400000000113,0.2875817911711299,0.16617774614426917,10.882328348363849,10.94777335885413,10.816883337873568,0,0
600309.SH,2010/04/06,11.633583999999999,11.508595,11.7105,11.436486,6212693.0,0.2740139999999993,0.24361959930132693,0.23768365919982015,10.885557629289305,10.970430493972211,10.8006847646064,0,0
600309.SH,2010/04/07,11.503786999999999,11.20093,11.503786999999999,11.09517,21902140.0,0.41342500000000015,0.08706451314112437,0.21121180172983126,10.848939896330453,10.923869718808449,10.774010073852457,0,0
600309.SH,2010/04/08,11.20093,11.325919,11.354762,11.181701,8717302.0,0.1730609999999988,0.10421828415219299,0.11694207242906413,10.900872903221643,10.975982768414468,10.825763038028818,0,0
600309.SH,2010/04/09,11.325919,11.287461,11.369183999999999,11.071133999999999,7644178.0,0.2980499999999999,0.05035944306901647,0.12727122486583664,10.940573274244926,11.019507160010185,10.861639388479666,0,0
600309.SH,2010/04/12,11.287461,11.369183999999999,11.436486,11.20093,10738199.0,0.23555600000000076,0.023310200764578383,0.09484009475123571,10.855865925996534,10.943219723140198,10.768512128852871,0,0
600309.SH,2010/04/13,11.388413,11.609547000000001,11.633583999999999,11.181701,12617887.0,0.4518829999999987,0.03318586412614077,0.07855237895501493,10.829243068637728,10.924822078976474,10.733664058298983,0,0
600309.SH,2010/04/14,11.691271,11.561475,11.777802000000001,11.513402000000001,13696576.0,0.2644000000000002,0.013667148568344606,0.08449901495767616,10.8301581036599,10.931524456365612,10.728791750954187,0,0
600309.SH,2010/04/15,11.753765,11.830682000000001,12.042200999999999,11.633583999999999,20740893.0,0.4807259999999989,0.13900429890626345,0.0727458098906161,10.820915067992246,10.897677307798078,10.744152828186413,0,0
600309.SH,2010/04/16,11.777802000000001,11.715307000000001,11.960478,11.566282000000001,9941666.0,0.3941959999999991,0.22384928316285774,0.14821764235215862,10.829930439681501,10.87494597135655,10.784914908006453,0,0
600309.SH,2010/04/19,11.532631,10.864421,11.681656,10.816348,14275807.0,0.8989590000000014,0.15262338074655174,0.19930709523784979,10.830899720930315,10.904835856958393,10.756963584902238,0,0
600309.SH,2010/04/20,10.874036,10.686552,11.056712,10.47984,9566300.0,0.5768719999999998,0.1819507223417243,0.15641837980437523,10.841104274010794,10.919084531730798,10.76312401629079,0,0
600309.SH,2010/04/21,10.696166999999999,10.960566,10.984603,10.696166999999999,8305943.0,0.2980509999999992,0.12142865845667561,0.17407785431329634,10.904548184261195,10.986574003868116,10.822522364654274,0,0
600309.SH,2010/04/22,10.912494,10.676938,10.912494,10.503876,15727829.0,0.45669000000000004,0.2767472804782588,0.13763446100617024,10.783589449878452,10.85696186565935,10.710217034097553,0,0
600309.SH,2010/04/23,10.662516,10.398116,10.720203,10.378886999999999,15004064.0,0.34131600000000084,0.33751758872696785,0.23115965276110206,10.751437767480587,10.83162971144328,10.671245823517893,0,0
600309.SH,2010/04/26,10.383695,9.975077,10.475033,9.835666,23891764.0,0.639367,0.5146665424103671,0.26775252654527093,10.797779222851588,10.874126015597593,10.721432430105583,1,0
600309.SH,2010/04/27,9.936619,9.532808000000001,9.936619,9.460699,22013967.0,0.5143780000000007,0.5858062240698423,0.37442286424710275,10.751559352454676,10.881568454136119,10.621550250773232,0,0
600309.SH,2010/04/29,9.720292,9.638568,9.931811,9.614532,13741986.0,0.39900299999999866,0.38002968059108244,0.4172596618054964,10.679014127384773,10.853386950475095,10.504641304294452,0,0
600309.SH,2010/04/30,9.662605000000001,9.782786,9.806823,9.508772,11015679.0,0.2980509999999992,0.30668821279356756,0.2933512055172109,10.552375050091921,10.71418556034944,10.390564539834402,0,0
600309.SH,2010/05/04,9.614532,9.258794,9.734714,9.157842,12886472.0,0.6249439999999993,0.5198236028479889,0.24918860125204065,10.302681383462797,10.451160246383694,10.1542025205419,0,0
600309.SH,2010/05/05,9.181878,9.422241,9.484736,8.787682,20079432.0,0.6970539999999996,0.35704514908883145,0.37752819096222984,10.294093189175335,10.410857836038701,10.177328542311969,0,0
600309.SH,2010/05/06,9.422241,8.979973,9.422241,8.941514999999999,12612542.0,0.48072600000000065,0.38815767685053615,0.2795110575158555,10.475784459719765,10.580647952071768,10.370920967367763,0,0
600309.SH,2010/05/07,8.749224,8.715573,9.018431,8.677114999999999,10878554.0,0.34131600000000084,0.37535822084046655,0.2982454828347314,10.388521141411086,10.488051072351624,10.288991210470549,0,0
600309.SH,2010/05/10,8.77326,8.989587,9.028045,8.701151,8782285.0,0.32689400000000113,0.1714719247673921,0.29053828351684,10.25711761949211,10.352460084787376,10.161775154196844,0,0
600309.SH,2010/05/11,9.133805,8.787682,9.24918,8.749224,8798647.0,0.49995600000000096,0.26029408300730994,0.16776804072015006,10.264962146964702,10.365472654482145,10.16445163944726,0,0
600309.SH,2010/05/12,8.744417,8.744417,8.850177,8.460788,9564411.0,0.38938899999999954,0.309012733764071,0.2212523510581651,10.152693268684684,10.258277375402985,10.047109161966384,0,0
